feature,importance
tet(A),0.34422187855982656
tet(B),0.21462076605973693
aac(3)-IId,0.16573875740952826
marR_S3N,0.16093300679124428
soxS_A12S,0.05466745421774993
dfrA1,0.036919417453933574
aph(6)-Id,0.012924407935255167
aph(3'')-Ib,0.009974311572725264
