feature,coefficient,absolute_coefficient
marR_S3N,-0.792251157256935,0.792251157256935
tet(A),0.584233139074418,0.584233139074418
aac(3)-IId,0.4736256655722856,0.4736256655722856
tet(B),0.3846841374328393,0.3846841374328393
soxS_A12S,-0.32087323012964863,0.32087323012964863
aph(6)-Id,-0.03370257331289364,0.03370257331289364
aph(3'')-Ib,-0.03370257331289364,0.03370257331289364
dfrA1,0.023787614770138518,0.023787614770138518
