resistance_phenotype,amr_element_symbol,gene_symbol,element_type,element_subtype,class,subclass,samples
resistant,aac(3)-VIa,yokD_2,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1
resistant,ant(2'')-Ia,aadB_4,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1
resistant,dfrA17,dhfrI,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
susceptible,dfrA14,dhfrI,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
resistant,aac(6')-IIc,aacA4_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1
resistant,aph(3'')-Ib,neo_4,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,1
resistant,aac(3)-VIa,yokD_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1
resistant,tet(D),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,1
resistant,aac(3)-VIa,yokD_5,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1
resistant,mcr-1.2,mcr-1.2_1,AMR,AMR,COLISTIN,COLISTIN,1
resistant,catB3,cat_4,AMR,AMR,PHENICOL,CHLORAMPHENICOL,1
resistant,aac(6')-IIc,aacA4_3,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1
resistant,dfrA5,dhfrI_2,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
resistant,catA1,cat,AMR,AMR,PHENICOL,CHLORAMPHENICOL,1
susceptible,aph(3'')-Ib,,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,1
resistant,dfrA17,dhfrI_1,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
susceptible,ant(2'')-Ia,aadB_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1
resistant,soxR_R20H,soxR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,1
resistant,cmlA1,cmlA1_3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,1
resistant,aac(3)-VIa,yokD_4,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1
resistant,ant(2'')-Ia,aadB_3,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1
resistant,dfrA12,,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
resistant,dfrA27,,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1
resistant,aac(3)-IIg,yokD_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1
